Time,Cpu_Utilization,Memory_Footprint,Cpu_Util_NOSGX,Mem_F_NOSGX,Cpu_Util_2,Mem_F_2,Cpu_Util_4,Mem_F_4,Cpu_Util_6,Mem_F_6,Cpu_Util_8,Mem_F_8,Cpu_Util_10,Mem_F_10,Cpu_Util_12,Mem_F_12,Power_Consumption,Power_Time,Power_Consumption_2,Power_Consumption_4,Power_Consumption_6,Power_Consumption_8,Power_Consumption_10,Power_Consumption_12
1,0,247980,0.75,297180,0,301804,0,247068,0,249488,0,249308,0,249844,0,252244,0.345,0,0.247,0.204,0.342,0.256,0.355,0.237
2,0,247980,0,297176,0.25,305360,0.5,253836,0,250012,0.25,268748,0,249840,0,258780,5.23,10,4.14,5,4.83,4.12,4.06,4.32
3,0,279828,0,417060,2.26,330792,1.26,271912,1.99,300012,2,299540,2.22,274340,1.74,290016,3.29,20,3.37,3.23,3.23,2,3.27,2.31
4,0.5,319732,4.01,486464,0.25,366360,1,301788,2.49,303288,2.99,306596,0.99,291560,1.5,301796,1.09,30,0.686,1.44,0.997,0.973,1.09,1.14
5,1.74,333152,0,558724,0.5,351464,0.5,296984,3.5,318408,4.02,322756,1,299472,1.24,302020,3.88,40,3.39,3.73,3.02,3.75,3.86,3.85
6,1.26,345800,1.01,627972,1.49,353724,2,298204,3.51,754788,3.5,754536,2.25,299852,0.5,304824,3.37,50,2.47,2.81,3.7,2.48,2.41,3.53
7,0.75,346344,1.74,296964,2.76,356132,2.24,301436,5.25,1517904,4.73,1517904,2.48,302532,1.73,306988,1.07,60,0.639,0.92,1.09,0.757,0.641,1.4
8,0.75,348812,0,296964,2.72,362288,3.49,307092,0,1517904,0.25,1517904,2.5,307868,2.49,313176,4.04,70,3.33,2.93,3.42,2.89,3.29,3.51
9,1.25,354364,0,296964,2.24,393776,2.28,312768,2,337088,5.22,340648,2.01,314528,2.72,327292,3.25,80,3.17,3.11,3.58,3.08,3.27,3.35
10,2.24,361332,0,296964,0.5,412968,0.5,324120,3.5,382584,3.99,1359448,0.75,319948,1.73,350484,3.07,90,3.08,3.25,3.87,3.24,3.05,3.43
11,3.01,379108,0.25,297468,1.24,396404,1.52,313932,4.49,1359196,0,1359448,1,315968,1,320752,4.43,100,4.87,4.44,4.4,4.57,4.54,4.6
12,0.5,363004,0,297468,1.48,371104,1.25,315024,0.25,383340,1.5,570748,0.76,316808,1.5,321016,3.94,110,3.93,2.86,2.77,3.69,2.9,3.28
13,1.24,364432,0,297468,1,371716,1.25,315764,1.24,394652,0,395044,1,327172,0.99,321936,3.59,120,2.52,2.04,1.91,2.81,2.04,2.1
14,0.5,365132,0,297476,2.22,391328,1.5,318924,0,411536,0,416268,1,331580,0.5,326356,3.63,130,3.33,3.87,3.45,3.88,4.26,3.25
15,1,370596,0.25,297476,0.25,386600,1,360140,3.76,370744,11.72,370356,1.99,368372,1.99,327492,4.73,140,4.79,4.38,4.04,4.71,4.36,4.31
16,0.99,370936,,,1.49,509300,0.5,353732,8,365820,0.25,367048,0.5,351904,0,371168,3.74,150,4.13,4.15,3.53,4,4.1,4.17
17,1.5,476104,,,0.75,579460,0.75,423076,0.99,260880,5.67,264756,0.75,420928,0.25,440524,0.426,160,4.6,4.12,4.96,3.61,4.09,3.48
18,0.99,546144,,,0.75,674764,0.25,493140,14.39,269944,14.79,270216,0.5,490480,0.25,510332,0.228,170,0.392,0.243,0.383,0.273,0.293,0.647
19,0.5,617848,,,0.5,763388,0.25,558660,14.39,272828,15.75,273800,0.25,562252,0.5,582164,0.277,180,0.247,0.288,0.266,0.219,0.915,0.283
20,0.75,720528,,,0.5,808432,0.5,629824,14.81,275404,15,275872,0.5,632120,0.5,652092,0.435,190,0.416,0.486,0.284,0.283,0.422,0.243
21,0.5,794408,,,0.75,484596,1,706780,17.41,275832,18.25,278152,0.75,701660,0.5,726052,0.345,200,0.272,0.842,0.626,0.621,0.358,0.229
22,0.5,410944,,,0.25,556356,0.25,758260,39,282728,41.04,285380,0.25,754352,0.5,757520,,,,,,,,
23,1,517076,,,0.5,625968,0.5,371796,49.26,295468,49.75,297700,0.75,363568,0,385928,,,,,,,,
24,0.75,588472,,,0.75,695964,0.25,434096,47.85,307644,49.63,309480,0.5,431196,0.25,459512,,,,,,,,
25,0.75,658336,,,0.5,755228,0.5,505584,49.14,320072,49.38,321696,0.5,501012,0.75,529308,,,,,,,,
26,0.5,728064,,,0.75,827072,0.5,575380,49.26,332452,49.14,333652,0.25,572312,0.5,599172,,,,,,,,
27,0,797608,,,0,896744,0.25,645176,47.62,344896,49.5,345796,0.5,646368,0.5,666656,,,,,,,,
28,0.25,869788,,,0.5,966664,0.25,714972,48.31,357612,48.54,358120,0.75,723264,0.5,740744,,,,,,,,
29,0.75,939560,,,0.75,1035896,0.25,786564,48.89,369284,49.02,369872,1,795648,0.5,810288,,,,,,,,
30,0.5,1009044,,,0.5,1107548,0.5,856612,48.31,381656,48.66,382056,0.25,867036,0.5,880480,,,,,,,,
31,0.75,1079332,,,0.5,1177732,0,926156,48.9,394192,48.54,394388,1,932708,1,951912,,,,,,,,
32,0.5,1150936,,,1,1247140,0.25,995952,48.89,406592,49.38,406320,0.75,1004724,0.75,1021708,,,,,,,,
33,0.25,1220972,,,0.25,1317212,0.17,1061488,49.14,418728,49.75,418228,0.5,1072160,0.5,1091504,,,,,,,,
34,0.75,1290532,,,0.75,1389528,0.5,1131536,14.91,403648,22.89,409468,0.25,1126640,0.5,1162056,,,,,,,,
35,0.5,1360328,,,0.75,1459332,0.25,1201080,3.45,402632,2.74,408424,1,1196184,0.5,1233396,,,,,,,,
36,0.75,1430124,,,0.25,1531204,0.25,1273172,11.72,421092,12.38,425176,0.5,1267396,0.75,1303456,,,,,,,,
37,0.5,1501864,,,0.25,1571880,0.5,1342716,15.21,425824,15.71,429656,0.5,1336808,0.25,1371980,,,,,,,,
38,0.5,1563864,,,0,1571880,0.5,1412612,16.25,428484,15,432680,1,1406628,0.5,1441528,,,,,,,,
