Time,Cpu_Utilization,Memory_Footprint,Cpu_Util_NOSGX,Mem_F_NOSGX,Power_Time,Power_Consumption
1,0,245304,0,298876,0,0.277
2,0,257812,0,298876,10,1.93
3,1.98,279668,4.22,489832,20,3.28
4,0.75,309816,1.01,298304,30,3.81
5,1,295068,0,298304,40,3.16
6,1.49,297436,0.25,298304,50,3.55
7,1.49,299472,0,298304,60,2.79
8,4.77,305976,0,298304,70,2.27
9,2.01,335224,0,298304,80,4.37
10,0,358448,0,298304,90,3.3
11,1.49,344416,0,298304,100,4.76
12,1.25,313884,0.25,299564,110,0.327
13,0.75,314040,0,299312,120,0.221
14,1,345408,0,299312,130,0.647
15,0.25,365624,0.99,299304,140,0.224
16,0.5,460196,,,150,0.323
17,0.5,523468,,,160,0.212
18,0.5,611588,,,170,0.222
19,0.75,701796,,,180,0.256
20,0,750876,,,190,0.597
21,0.5,420732,,,200,0.277
22,0.5,492556,,,,
23,0.25,562096,,,,
24,0.25,634192,,,,
25,0.74,702728,,,,
26,0.75,776312,,,,
27,0.5,842180,,,,
28,0.5,913912,,,,
29,0.5,997624,,,,
30,0.5,1063120,,,,
31,0.5,1132776,,,,
32,0.5,1197160,,,,
33,0.5,1269156,,,,
34,0.5,1340792,,,,
35,0.5,1408400,,,,
36,0.5,1482368,,,,
37,0.25,1515048,,,,
38,0,1515048,,,,
39,0.5,350720,,,,
40,1,328992,,,,
41,1.25,330508,,,,
42,1.51,335032,,,,
43,2.22,349928,,,,
44,0.75,423732,,,,
45,0.5,489016,,,,
46,0.5,560860,,,,
47,0.5,632656,,,,
48,0.5,702584,,,,
49,0.5,772020,,,,
50,0,780172,,,,
51,0.25,407732,,,,
52,0.25,479700,,,,
53,0.75,545204,,,,
54,0.5,619040,,,,
55,0.25,688964,,,,
56,0.5,760184,,,,
57,0.5,828076,,,,
58,0.5,899764,,,,
59,0.25,969688,,,,
60,0.25,1041412,,,,
61,0.5,1111196,,,,
62,0.5,1181064,,,,
63,0.5,1250788,,,,
64,0.5,1318320,,,,
65,0.25,1355176,,,,
66,0,1355172,,,,
67,0.75,365364,,,,
68,1.74,390628,,,,
69,0.25,404740,,,,
70,1.49,366808,,,,
71,10.05,362412,,,,
72,0.5,253704,,,,
73,12.44,263864,,,,
74,14.57,267764,,,,
75,14.79,271032,,,,
76,16.21,270816,,,,
77,33.09,276392,,,,
78,49.75,288460,,,,
79,48.77,300876,,,,
80,48.9,313176,,,,
81,49.39,324940,,,,
82,49.02,337500,,,,
83,48.66,349636,,,,
84,48.66,361680,,,,
85,48.54,373864,,,,
86,49.38,386200,,,,
87,48.66,398264,,,,
88,48.54,410688,,,,
89,31.31,402216,,,,
90,2.24,402764,,,,
91,9.5,418612,,,,
92,15.75,423260,,,,
93,15.67,426592,,,,
94,15.35,428468,,,,
95,30.45,429628,,,,
96,47.96,441568,,,,
97,48.54,452172,,,,
98,49.26,464828,,,,
99,50.12,476140,,,,
100,51.12,488732,,,,
101,50.25,500364,,,,
102,51,512816,,,,
103,50.61,524724,,,,
104,51.36,536992,,,,
105,49.64,400592,,,,
106,7.88,399388,,,,
107,0.25,399432,,,,
108,1,399336,,,,
109,0.74,399496,,,,
110,1,399512,,,,
111,0.25,399940,,,,
112,0.5,400028,,,,
113,11.31,400468,,,,
114,11.94,400552,,,,
115,2.74,400684,,,,
116,0.5,400836,,,,
117,0.5,401028,,,,
118,0.25,401040,,,,
119,0.5,401272,,,,
120,0.75,401320,,,,
121,0.25,401544,,,,
122,0.25,401432,,,,
123,0.09,401860,,,,
124,0.5,402032,,,,
125,0.5,402044,,,,
126,0.25,402216,,,,
127,0.5,402388,,,,
128,1.5,402084,,,,
129,0.5,402472,,,,
130,0.74,402596,,,,
131,0.25,403048,,,,
132,9.34,403116,,,,
133,13.43,403368,,,,
134,12.47,404096,,,,
135,12.62,404288,,,,
136,12.03,404596,,,,
137,10.61,404840,,,,
138,11.47,405092,,,,
139,14.68,405580,,,,
140,3.7,405556,,,,
141,2.27,406232,,,,
142,1.75,405932,,,,
143,1.5,406140,,,,
144,2.25,406312,,,,
145,9.09,422512,,,,
146,15.46,427804,,,,
147,16.04,430576,,,,
148,16.17,433488,,,,
149,28.82,433244,,,,
150,48.9,445056,,,,
151,48.17,456872,,,,
152,49.26,469576,,,,
153,48.31,480964,,,,
154,49.26,492808,,,,
155,48.52,502960,,,,
156,48.4,514372,,,,
157,52.37,526228,,,,
158,50,538120,,,,
159,51.47,457584,,,,
160,17.04,405648,,,,
161,58.19,410560,,,,
162,53.63,410620,,,,
163,19.31,242040,,,,
164,0,242176,,,,
165,0,241792,,,,
166,0,241444,,,,
167,0,241696,,,,
168,0,241688,,,,
169,0,241684,,,,
170,0,241684,,,,
171,0,241684,,,,
172,0,241684,,,,
173,0,241684,,,,
174,0,241684,,,,
175,0,241684,,,,
176,0,241684,,,,
177,0,241684,,,,
178,0,241684,,,,
179,0.75,242484,,,,
180,0,242468,,,,
181,0,242448,,,,
182,0,242448,,,,
183,0,242448,,,,
184,0,242448,,,,
185,0,242448,,,,
186,0,242448,,,,
187,1,241292,,,,
188,1,241428,,,,
189,0,241428,,,,
190,0,241416,,,,
191,0,241416,,,,
192,0,241416,,,,
193,0,241424,,,,
194,0,242700,,,,
195,0,242684,,,,
196,0,242684,,,,
197,0,242684,,,,
198,0,242672,,,,
199,0,242672,,,,
200,0,242476,,,,
