Time,Cpu_Utilization,Memory_Footprint,Cpu_Util_NOSGX,Mem_F_NOSGX,Power_Time,Power_Consumption
1,0,246540,0,298548,0,0.228
2,0,246544,0.25,298552,10,3.55
3,0.75,271356,0,374636,20,2.32
4,2.44,284080,4.5,298660,30,1.24
5,0.75,297568,0,298660,40,3.75
6,0.99,297928,0,298660,50,2.43
7,1.75,299544,0,298660,60,0.821
8,1.25,304708,0,298660,70,3.03
9,2.74,308620,0,298660,80,3.16
10,1.99,351196,0,298660,90,3.05
11,0.5,313520,0,298660,100,4.24
12,1.97,341360,0,298660,110,4.05
13,0.74,315800,0,298660,120,4.04
14,1.25,316372,0,299172,130,4.06
15,1.24,340052,0.25,299416,140,4.37
16,0.5,333268,,,150,3.51
17,0.5,404312,,,160,2.36
18,0.5,473596,,,170,0.748
19,0.75,541376,,,180,0.228
20,0.75,615464,,,190,0.28
21,0,685176,,,200,0.317
22,0.5,748996,,,,
23,0,344884,,,,
24,0.5,414428,,,,
25,0.5,488128,,,,
26,0.5,559856,,,,
27,0.99,629696,,,,
28,1.25,699196,,,,
29,0.5,767256,,,,
30,0.75,836788,,,,
31,0.5,910876,,,,
32,0.75,980420,,,,
33,0.5,1050312,,,,
34,0.25,1122060,,,,
35,0.25,1191856,,,,
36,0.5,1261036,,,,
37,0.75,1328436,,,,
38,0.5,1402524,,,,
39,0.5,1472068,,,,
40,0.25,1511728,,,,
41,0,1511728,,,,
42,0,318732,,,,
43,0.99,318932,,,,
44,1.98,326100,,,,
45,1.26,328964,,,,
46,1.52,334076,,,,
47,2.96,370952,,,,
48,0.5,450000,,,,
49,0.75,519336,,,,
50,0.25,589708,,,,
51,1,653520,,,,
52,0.5,723496,,,,
53,0.5,779220,,,,
54,0.25,371376,,,,
55,0.25,443204,,,,
56,0.5,513332,,,,
57,0.25,580536,,,,
58,0.75,652696,,,,
59,0.5,724436,,,,
60,0.5,793980,,,,
61,0.5,864024,,,,
62,0.5,933568,,,,
63,0.5,1005428,,,,
64,0.5,1073192,,,,
65,0.5,1143020,,,,
66,0.75,1214172,,,,
67,0.25,1284420,,,,
68,0.5,1353676,,,,
69,0,1354252,,,,
70,0,336020,,,,
71,1,336612,,,,
72,0.75,389672,,,,
73,0.25,413360,,,,
74,3.72,366304,,,,
75,8.02,360620,,,,
76,0.5,259256,,,,
77,13.22,264880,,,,
78,15.54,267764,,,,
79,13.82,271432,,,,
80,17.25,270728,,,,
81,34.84,279292,,,,
82,49.75,291308,,,,
83,49.63,303412,,,,
84,49.38,315100,,,,
85,50,327656,,,,
86,50,339668,,,,
87,50,351096,,,,
88,50.75,363004,,,,
89,48.9,374992,,,,
90,49.5,386684,,,,
91,49.5,398992,,,,
92,49.14,410576,,,,
93,43.18,401004,,,,
94,1.01,401312,,,,
95,5.21,417168,,,,
96,16.46,422056,,,,
97,15.54,424576,,,,
98,15.21,426760,,,,
99,24,428848,,,,
100,46.31,441284,,,,
101,48.76,453224,,,,
102,49.75,464744,,,,
103,50.25,476712,,,,
104,50.5,488664,,,,
105,50.25,501920,,,,
106,50.12,514528,,,,
107,49.52,526092,,,,
108,50.37,538416,,,,
109,52.07,400344,,,,
110,11.52,399852,,,,
111,0.75,400024,,,,
112,0.25,400116,,,,
113,0.5,400080,,,,
114,0.25,400120,,,,
115,0.74,400416,,,,
116,0.5,400372,,,,
117,10.92,400624,,,,
118,11.87,400876,,,,
119,6.02,402216,,,,
120,0.5,402472,,,,
121,0.5,402464,,,,
122,0.5,402476,,,,
123,0.75,402792,,,,
124,0,402964,,,,
125,0.49,403300,,,,
126,1,403448,,,,
127,0,403736,,,,
128,0.5,404088,,,,
129,0.25,404548,,,,
130,0.25,404688,,,,
131,0.5,404804,,,,
132,0.5,405100,,,,
133,0,405020,,,,
134,0.5,405280,,,,
135,0.5,405204,,,,
136,6.25,405720,,,,
137,11.94,405972,,,,
138,13.37,406224,,,,
139,13.55,406476,,,,
140,13.15,406736,,,,
141,13.35,406984,,,,
142,12.59,407488,,,,
143,12.5,407380,,,,
144,11.75,407216,,,,
145,2.75,407576,,,,
146,2.99,407524,,,,
147,1.25,407732,,,,
148,3.73,407732,,,,
149,1.75,407840,,,,
150,2.48,416340,,,,
151,10.7,424964,,,,
152,16.21,428800,,,,
153,16,431932,,,,
154,14.96,431912,,,,
155,30.49,437916,,,,
156,48.3,451028,,,,
157,47.73,463524,,,,
158,48.19,474948,,,,
159,48.77,487360,,,,
160,48.08,499292,,,,
161,48.66,510208,,,,
162,48.78,519892,,,,
163,52.1,531992,,,,
164,50.86,543892,,,,
165,46.54,408404,,,,
166,36.88,412900,,,,
167,68,413204,,,,
168,24.44,245572,,,,
169,0.25,245572,,,,
170,0,245572,,,,
171,0,245572,,,,
172,0,245564,,,,
173,0,244424,,,,
174,0,244424,,,,
175,0,244424,,,,
176,0,244424,,,,
177,0,244424,,,,
178,0,244424,,,,
179,0,244424,,,,
180,0,244424,,,,
181,0,244420,,,,
182,0,244420,,,,
183,0,243936,,,,
184,0,243808,,,,
185,0,243612,,,,
186,0,244388,,,,
187,0,244244,,,,
188,0,244244,,,,
189,0,244244,,,,
190,0,244244,,,,
191,0,244244,,,,
192,0,244244,,,,
193,0,244244,,,,
194,0,244244,,,,
195,0,244244,,,,
196,0,244244,,,,
197,0,244264,,,,
198,0,245372,,,,
199,0.5,245372,,,,
200,0,245224,,,,
