Time,Cpu_Utilization,Memory_Footprint,Cpu_Util_NOSGX,Mem_F_NOSGX,Power_Time,Power_Consumption
1,0,250428,0,298216,0,0.223
2,0.75,267092,0.5,298016,10,4.28
3,1.98,300656,3.23,415788,20,2.38
4,1.99,305300,0.75,488952,30,0.951
5,3.74,319916,1.74,306308,40,3.26
6,2.25,756296,0.25,306296,50,2.47
7,4.74,1519412,0,299692,60,0.629
8,0,1519412,0,299692,70,2.58
9,3.71,338976,0,299692,80,3.4
10,1.75,353152,0,299692,90,3.21
11,0.5,422696,0,299692,100,4.29
12,0.5,492744,0,299692,110,4.1
13,0.5,564336,0,299692,120,2.41
14,0.5,634132,0,299692,130,4.42
15,0.5,703928,0,299504,140,4.77
16,0.25,773724,,,150,3.86
17,0.25,352152,,,160,2.95
18,0.5,423744,,,170,0.216
19,0.5,493892,,,180,0.28
20,0.5,563572,,,190,0.605
21,0.75,631744,,,200,0.289
22,1,703492,,,,
23,1,773232,,,,
24,0.5,842776,,,,
25,0.5,913084,,,,
26,0.5,984904,,,,
27,0.5,1054700,,,,
28,0.5,1124496,,,,
29,0.25,1194624,,,,
30,0.5,1265884,,,,
31,0.25,1336060,,,,
32,0.25,1358936,,,,
33,0.25,1358936,,,,
34,0.5,378840,,,,
35,0.75,394128,,,,
36,0.25,408996,,,,
37,4.73,369400,,,,
38,8.08,364936,,,,
39,0.75,255704,,,,
40,14.46,267308,,,,
41,14.75,271280,,,,
42,14.5,274356,,,,
43,15.5,276624,,,,
44,31.28,276056,,,,
45,48.77,288036,,,,
46,48.89,299896,,,,
47,48.53,311392,,,,
48,49.14,323332,,,,
49,49.26,334920,,,,
50,48.18,347552,,,,
51,48.54,359500,,,,
52,48.09,371304,,,,
53,49.5,383624,,,,
54,49.14,395788,,,,
55,48.54,407320,,,,
56,47.28,419324,,,,
57,1,404920,,,,
58,4.99,415480,,,,
59,14.29,423900,,,,
60,14.75,426476,,,,
61,16.75,430112,,,,
62,22.28,428960,,,,
63,42.47,437524,,,,
64,48.43,447416,,,,
65,48.77,459904,,,,
66,51,471480,,,,
67,50.49,483120,,,,
68,51.57,496032,,,,
69,49.02,507656,,,,
70,48.9,519948,,,,
71,50.61,531368,,,,
72,50.61,543756,,,,
73,22.28,397848,,,,
74,0.75,398272,,,,
75,0.25,398320,,,,
76,0.75,398404,,,,
77,0.5,398156,,,,
78,0.5,398444,,,,
79,0.25,398600,,,,
80,8.48,398956,,,,
81,13.15,399204,,,,
82,6.25,399872,,,,
83,0.25,399764,,,,
84,0.25,399928,,,,
85,0.5,400284,,,,
86,0.5,401240,,,,
87,0.25,400988,,,,
88,0.25,401152,,,,
89,0.5,401200,,,,
90,0.25,401544,,,,
91,0.5,401528,,,,
92,0.5,401700,,,,
93,0.5,401996,,,,
94,0.74,401892,,,,
95,0.75,402780,,,,
96,0,402824,,,,
97,0.5,402980,,,,
98,0.5,403144,,,,
99,6.25,403276,,,,
100,12.44,403780,,,,
101,12.44,404028,,,,
102,12.5,404280,,,,
103,14.04,403144,,,,
104,13.2,403532,,,,
105,12.41,404036,,,,
106,11.82,404428,,,,
107,8.21,404672,,,,
108,4.28,404852,,,,
109,3.2,404776,,,,
110,2,405084,,,,
111,1.5,405192,,,,
112,4.22,414464,,,,
113,16,424760,,,,
114,15.54,427472,,,,
115,17,431140,,,,
116,20.59,431920,,,,
117,45.1,439020,,,,
118,50.13,451204,,,,
119,48.4,463468,,,,
120,49.5,475632,,,,
121,49.38,487852,,,,
122,49.63,500208,,,,
123,49.02,512864,,,,
124,51.46,523028,,,,
125,52.23,535760,,,,
126,51.62,547772,,,,
127,24.37,407680,,,,
128,0.5,407644,,,,
129,14.68,412036,,,,
130,72.43,411844,,,,
131,42.57,412300,,,,
132,25.69,245168,,,,
133,2.25,244164,,,,
134,0,243144,,,,
135,0,242592,,,,
136,0,242592,,,,
137,0,242592,,,,
138,0,242592,,,,
139,0,242592,,,,
140,0.25,242036,,,,
141,0,241908,,,,
142,0,241580,,,,
143,0,241580,,,,
144,0,241580,,,,
145,0,241580,,,,
146,0,242184,,,,
147,0,241956,,,,
148,0,242196,,,,
149,0,242196,,,,
150,0,242480,,,,
151,0,242480,,,,
152,0.25,242480,,,,
153,0,242480,,,,
154,0,242480,,,,
155,0,242480,,,,
156,0,242480,,,,
157,0,242472,,,,
158,0,242472,,,,
159,0,242472,,,,
160,0,242472,,,,
161,0,242472,,,,
162,0,242468,,,,
163,0.5,242104,,,,
164,0.75,242164,,,,
165,0,242020,,,,
166,0,242020,,,,
167,0,242020,,,,
168,0,242020,,,,
169,0,242016,,,,
170,0,242016,,,,
171,0,242016,,,,
172,0,242016,,,,
173,0,242016,,,,
174,0,242016,,,,
175,0.25,242016,,,,
176,0,243024,,,,
177,0,242940,,,,
178,0.25,243432,,,,
179,0,243432,,,,
180,0,243432,,,,
181,0,243428,,,,
182,0,243428,,,,
183,0,243428,,,,
184,0,243428,,,,
185,0,243428,,,,
186,0,243428,,,,
187,0,243428,,,,
188,1,242140,,,,
189,0,242140,,,,
190,0,242140,,,,
191,0,242140,,,,
192,0,242140,,,,
193,0,242140,,,,
194,0,242140,,,,
195,0,242140,,,,
196,0,242128,,,,
197,0,242128,,,,
198,0,242128,,,,
199,0,242128,,,,
200,0,242128,,,,
