Time,Cpu_Utilization,Memory_Footprint,Cpu_Util_NOSGX,Mem_F_NOSGX,Power_Time,Power_Consumption
1,0.75,253932,0,307800,0,0.23
2,0,253936,0,307800,10,4.27
3,0.5,259520,4.24,308488,20,3.6
4,2.23,291004,3.92,349040,30,0.743
5,0.75,303792,0.75,348884,40,1.82
6,0.75,304124,0,301568,50,4.81
7,2,306656,0,301396,60,0.952
8,1,309040,0,301144,70,3.23
9,2.74,314864,0,301152,80,2.93
10,1.99,341292,0.25,301152,90,3.01
11,0.25,364532,0,301152,100,4.61
12,1.49,337776,0,301152,110,2.93
13,1.24,322488,0,301152,120,2.17
14,1.24,323148,0,301152,130,3.25
15,1.24,332508,0.25,300272,140,4.77
16,1.25,328828,,,150,3.97
17,0.5,395068,,,160,2
18,0.75,465116,,,170,0.227
19,0.25,538768,,,180,0.304
20,0.75,606756,,,190,0.23
21,0.25,676308,,,200,0.23
22,0.75,746092,,,,
23,0,340500,,,,
24,0.5,411788,,,,
25,0.5,483340,,,,
26,0.03,554916,,,,
27,0.5,620660,,,,
28,0.5,692756,,,,
29,0.5,762300,,,,
30,0.5,832096,,,,
31,0.25,901904,,,,
32,0.25,973736,,,,
33,0.75,1043280,,,,
34,0.25,1115360,,,,
35,0.5,1187008,,,,
36,0.25,1256968,,,,
37,0.75,1324764,,,,
38,1,1395852,,,,
39,1,1467524,,,,
40,0.75,1523108,,,,
41,0,1522920,,,,
42,0,330144,,,,
43,0.5,376780,,,,
44,1.74,337440,,,,
45,1.5,339244,,,,
46,1.73,342848,,,,
47,1.24,368536,,,,
48,0.75,438584,,,,
49,0.25,508128,,,,
50,0.75,577924,,,,
51,0,650032,,,,
52,0.25,719312,,,,
53,0.5,789096,,,,
54,0.25,366532,,,,
55,1,436076,,,,
56,0.25,506124,,,,
57,0.75,579988,,,,
58,0.5,647740,,,,
59,0.25,719332,,,,
60,0.5,789112,,,,
61,0.76,861180,,,,
62,0.75,932772,,,,
63,0,998528,,,,
64,0.5,1068324,,,,
65,0.5,1142424,,,,
66,0.25,1214004,,,,
67,0.75,1283800,,,,
68,0.5,1353344,,,,
69,0.25,1364504,,,,
70,0,346224,,,,
71,1.24,388308,,,,
72,0.76,399536,,,,
73,0,422596,,,,
74,6.47,370900,,,,
75,5.28,370656,,,,
76,1.24,270572,,,,
77,13.5,275400,,,,
78,14.5,278976,,,,
79,15.75,282308,,,,
80,17.25,281908,,,,
81,38.61,291192,,,,
82,49.75,303272,,,,
83,49.63,315544,,,,
84,48.66,326828,,,,
85,49.75,339604,,,,
86,49.38,351896,,,,
87,49.88,363808,,,,
88,49.5,375656,,,,
89,49.01,387668,,,,
90,49.01,400036,,,,
91,49.26,411812,,,,
92,48.9,424584,,,,
93,28,412000,,,,
94,1.25,412348,,,,
95,7.75,428708,,,,
96,15.79,432796,,,,
97,15.46,435680,,,,
98,15.21,438788,,,,
99,25.69,439988,,,,
100,48.06,452432,,,,
101,49.01,464316,,,,
102,48.77,477120,,,,
103,48.89,488992,,,,
104,50.37,502500,,,,
105,50.49,514988,,,,
106,49.76,527516,,,,
107,50.25,539436,,,,
108,51.22,552168,,,,
109,46.7,410464,,,,
110,3.49,410740,,,,
111,0.51,411184,,,,
112,0.5,410800,,,,
113,0.5,411076,,,,
114,0.74,409256,,,,
115,0.25,409352,,,,
116,4.27,409704,,,,
117,12,409956,,,,
118,10.53,410352,,,,
119,0.75,410404,,,,
120,0,410684,,,,
121,1,411040,,,,
122,0.25,410940,,,,
123,0.25,411380,,,,
124,0.74,411280,,,,
125,0.5,411432,,,,
126,0.5,411416,,,,
127,0.51,411884,,,,
128,0.25,411356,,,,
129,0.25,411776,,,,
130,0.5,411540,,,,
131,0.25,411936,,,,
132,0.5,411848,,,,
133,0.76,412264,,,,
134,0.5,412060,,,,
135,0.25,412436,,,,
136,12.47,413516,,,,
137,11.47,413768,,,,
138,12.22,414272,,,,
139,11.91,414524,,,,
140,12.53,414768,,,,
141,11.25,415884,,,,
142,13.47,415832,,,,
143,12.69,415280,,,,
144,3.72,416684,,,,
145,2.23,416480,,,,
146,1.76,416188,,,,
147,2.01,416408,,,,
148,2.01,427724,,,,
149,11.41,435420,,,,
150,16,439004,,,,
151,15.5,440936,,,,
152,15.25,441684,,,,
153,39.95,450132,,,,
154,49.63,462348,,,,
155,49.14,474788,,,,
156,48.91,487488,,,,
157,49.26,499260,,,,
158,48.43,511648,,,,
159,48.41,523688,,,,
160,50.98,532612,,,,
161,52.25,544928,,,,
162,52.11,521792,,,,
163,33.09,423676,,,,
164,73.13,424120,,,,
165,30.89,254168,,,,
166,11.25,253524,,,,
167,0,253524,,,,
168,0,253524,,,,
169,0,253764,,,,
170,0,253596,,,,
171,0,252028,,,,
172,4.23,251552,,,,
173,0,252296,,,,
174,0.25,252744,,,,
175,0,252744,,,,
176,0,252744,,,,
177,0,252744,,,,
178,0,252724,,,,
179,0,252724,,,,
180,0,252724,,,,
181,1.25,252588,,,,
182,0,252588,,,,
183,0,252588,,,,
184,0,252588,,,,
185,0,252588,,,,
186,0,252588,,,,
187,0,252588,,,,
188,0,262068,,,,
189,0.5,261660,,,,
190,0,261660,,,,
191,0,254464,,,,
192,0,254184,,,,
193,0,254184,,,,
194,0,254184,,,,
195,0,254184,,,,
196,0,253492,,,,
197,0,253492,,,,
198,0,253492,,,,
199,0,253492,,,,
200,0,253296,,,,
