Time,Cpu_Utilization,Memory_Footprint,Cpu_Util_NOSGX,Mem_F_NOSGX,Power_Time,Power_Consumption
1,0,255712,0,305980,0,0.247
2,0.75,269100,0.75,317828,10,5.06
3,1.49,286052,3.51,447912,20,3.81
4,1.51,315496,0.5,519260,30,1.1
5,0.75,305712,0.5,588764,40,1.92
6,2.23,308036,0.5,658560,50,2.49
7,2.24,309844,0.75,728104,60,0.637
8,3.17,315280,0.75,801696,70,1.79
9,1.49,329024,0.25,875548,80,2.44
10,0.5,350264,0.75,945188,90,3.45
11,1.72,334500,1.5,293412,100,3.1
12,1.24,332592,0,293112,110,4.45
13,0.75,332400,0,293796,120,3.03
14,1.5,329892,0,293584,130,2.33
15,0.5,330432,0.25,293324,140,4.09
16,0,381048,,,150,4.14
17,0.5,450592,,,160,4.2
18,0.25,520640,,,170,4.18
19,0.75,592232,,,180,3.64
20,0.25,662028,,,190,0.221
21,0.5,732236,,,200,0.247
22,0.25,760508,,,,
23,0.5,395236,,,,
24,0.5,465032,,,,
25,0.5,534828,,,,
26,0.25,606668,,,,
27,0.25,676464,,,,
28,0.75,746956,,,,
29,0.5,816384,,,,
30,0.25,888384,,,,
31,0.25,957928,,,,
32,0.5,1027724,,,,
33,0.75,1097520,,,,
34,0.75,1169364,,,,
35,0.5,1238928,,,,
36,0.25,1308956,,,,
37,0.25,1378752,,,,
38,0.25,1450344,,,,
39,0.75,1522408,,,,
40,0,1524236,,,,
41,0,1524232,,,,
42,0.76,361720,,,,
43,1.75,337264,,,,
44,1.75,339424,,,,
45,2,343468,,,,
46,2.27,347020,,,,
47,0.5,412188,,,,
48,0.5,485956,,,,
49,0.25,553536,,,,
50,0.5,623036,,,,
51,0.5,693100,,,,
52,0.5,762896,,,,
53,0.25,789452,,,,
54,0.5,416900,,,,
55,0.75,486948,,,,
56,0.5,554500,,,,
57,0.75,624296,,,,
58,1,696352,,,,
59,0.25,767136,,,,
60,0.5,836988,,,,
61,0.5,906784,,,,
62,0.25,978444,,,,
63,0.25,1050128,,,,
64,1.99,1118120,,,,
65,0.25,1189720,,,,
66,0.25,1257264,,,,
67,0.5,1329456,,,,
68,0,1366184,,,,
69,0,1366184,,,,
70,1.5,370272,,,,
71,0.5,375672,,,,
72,0.75,447276,,,,
73,0.25,519180,,,,
74,1,588908,,,,
75,0.5,658816,,,,
76,0.25,726256,,,,
77,0.25,796488,,,,
78,0.5,868008,,,,
79,0.25,910740,,,,
80,0.25,402000,,,,
81,0,415660,,,,
82,4.76,376768,,,,
83,6.28,373104,,,,
84,1.72,263288,,,,
85,15.17,275336,,,,
86,15.75,278968,,,,
87,15.25,282536,,,,
88,16.21,283516,,,,
89,36.39,285488,,,,
90,49.14,297728,,,,
91,49.02,309700,,,,
92,48.66,322204,,,,
93,48.52,334484,,,,
94,48.77,346724,,,,
95,49.26,359280,,,,
96,48.66,371740,,,,
97,48.53,384252,,,,
98,49.01,396436,,,,
99,48.89,408324,,,,
100,48.19,420984,,,,
101,20.3,412856,,,,
102,2.71,412372,,,,
103,9.9,428016,,,,
104,14.96,432636,,,,
105,15.42,435744,,,,
106,15.75,439104,,,,
107,39.7,440516,,,,
108,48.54,451812,,,,
109,49.27,464740,,,,
110,49.64,477352,,,,
111,50.25,490000,,,,
112,50.62,502112,,,,
113,50.49,514464,,,,
114,50.37,527828,,,,
115,51.47,540276,,,,
116,50.61,552176,,,,
117,22.69,410888,,,,
118,1.24,409692,,,,
119,0.5,409680,,,,
120,0.5,409836,,,,
121,0.5,409936,,,,
122,0.25,410080,,,,
123,0.5,410244,,,,
124,4.73,410720,,,,
125,12.47,410668,,,,
126,9.38,410752,,,,
127,0.5,411312,,,,
128,0.5,411212,,,,
129,0.5,411356,,,,
130,0,411436,,,,
131,0.75,412108,,,,
132,0.25,411996,,,,
133,0.5,412388,,,,
134,0.51,412064,,,,
135,0.5,412460,,,,
136,1.01,412624,,,,
137,0.25,412760,,,,
138,0.75,412972,,,,
139,0.5,412712,,,,
140,0.75,412792,,,,
141,0.25,412808,,,,
142,0.5,413096,,,,
143,0.5,413016,,,,
144,10.25,413520,,,,
145,12.19,413656,,,,
146,12.69,413908,,,,
147,13.51,414136,,,,
148,13.72,415076,,,,
149,12,415640,,,,
150,12,415892,,,,
151,13.5,416088,,,,
152,3.27,415264,,,,
153,2.49,415532,,,,
154,1.26,415888,,,,
155,2.01,415808,,,,
156,2.26,415808,,,,
157,9.73,432100,,,,
158,14.96,436324,,,,
159,15,440160,,,,
160,15.21,441924,,,,
161,31.7,443476,,,,
162,49.01,455956,,,,
163,49.01,468460,,,,
164,48.77,480456,,,,
165,49.14,492300,,,,
166,49.01,504616,,,,
167,48.54,517168,,,,
168,48.08,528912,,,,
169,53.2,537124,,,,
170,51.35,549632,,,,
171,43.87,416072,,,,
172,0.75,415852,,,,
173,0.75,416316,,,,
174,0.75,415916,,,,
175,0.25,416200,,,,
176,0.25,416656,,,,
177,1.25,416056,,,,
178,0.25,417188,,,,
179,0.5,417228,,,,
180,18.16,417412,,,,
181,25.86,418288,,,,
182,11.47,418288,,,,
183,13.47,418288,,,,
184,17.16,417980,,,,
185,72.93,422324,,,,
186,45.43,422568,,,,
187,70.93,422556,,,,
188,34.25,299624,,,,
189,11,253404,,,,
190,0,252232,,,,
191,0,252036,,,,
192,0,251996,,,,
193,0,251996,,,,
194,0,251996,,,,
195,0,251996,,,,
196,0,251996,,,,
197,0,251996,,,,
198,0,251996,,,,
199,0,252140,,,,
200,0,252140,,,,
